,App_name,App_type,App_rate,App_downloads+,App_developer,App_last_update,App_review,App_review_engl,App_review_en_full_rev
57,Meditación Guiada Gratis,Salud y bienestar,4.3,10000,AbacaxiApps,21 de mayo de 2020,"Excelente app, los sonidos, las voces son maravillosas, te llevan a una relajación total... Vale la pena descargarla y compartirla. Gracias por realizar una selección minuciosa de todos los aspectos de la App","Excellent app, the sounds, the voices are wonderful, they take you to total relaxation ... It is worth downloading and sharing it. Thank you for making a careful selection of all aspects of the App.","Excellent app, the sounds, the voices are wonderful, they take you to total relaxation ... It is worth downloading and sharing it. Thank you for making a careful selection of all aspects of the App."
58,Como Ser Feliz,Estilo de vida,4.6,100000,Wilson Castrillon,2 de diciembre de 2018,"Es increíble, me está ayudando muchísimo. Me siento muchísimo mejor, conmigo misma y con la vida en general. Todavía voy por el sexto tema, pero es sorprendente lo que hacen estas palabras en una persona, o al menos en mí. Lo recomiendo totalmente, si estás mirando este comentario porque estás indecis@ en si descargar la aplicación o no, te aseguro que la mejor decisión que puedes tomar para que tu percepción de la vida cambie, es descargarla.","It is incredible, it is helping me a lot. I feel much better, with myself and with life in general. I'm still on the sixth topic, but it's amazing what these words do to a person, or at least to me. I totally recommend it, if you are looking at this comment because you are indec ... Full opinion","It is incredible, it is helping me a lot. I feel much better, with myself and with life in general. I'm still on the sixth topic, but it's amazing what these words do to a person, or at least to me. I totally recommend it, if you are looking at this comment because you are undecided on whether to download the application or not, I assure you that the best decision you can make to change your perception of life is to download it."
59,El Poder de la mente,Estilo de vida,4.5,100000,Emprendedora apps,20 de diciembre de 2019,Wau como la dañaron de verdad cuando yo la instale por primera vez me gusto toda la informacion que tenia ahora ya no la tiene como estaba antes estaba mejor yo la vi y dije la instalare despues y la usare para orar para la guerra espiritual y hoy la instale y no es la misma y estoy buscando otra aplicacion que me gusto que la iva ha instalar tambien y ya no esta era el poder del ahora pero ya para que 😭,Wau how they really damaged it when I installed it for the first time I liked all the information that it had now it no longer has it as it was before it was better I saw it and said I will install it later and I will use it to pray for spiritual warfare and today I will install and it is not the same and I am looking for another ap ... Full review,Wau how they really damaged it when I installed it for the first time I liked all the information that it had now it no longer has it as it was before it was better I saw it and said I will install it later and I will use it to pray for spiritual warfare and today I will I installed and it is not the same and I am looking for another application that I liked that the VAT has also installed and this was not the power of now but for what que
60,Eleva tu Autoestima y Superación Personal,Salud y bienestar,4.7,10000,Recetas Comida Dietas y más Apps gratis ComRecApps,5 de abril de 2020,Muy buena pero ma gustaría saber cómo hacer todo esto cuando se termina una relación amorosa... Cuando el corazón y la mente hacen q el auto estima sea mucho más critico,Very good but I would like to know how to do all this when a love relationship ends ... When the heart and mind make self esteem much more critical,Very good but I would like to know how to do all this when a love relationship ends ... When the heart and mind make self esteem much more critical
61,PD Test - Prueba de Trastornos de la Personalidad,Salud y bienestar,4.1,10000,People ‘n Droid,20 de abril de 2020,Buenas tardesy me disculpa pero no puedo estar de acuerdo con el resultado ya que hice dos test y dieron el mismo diagnostico y era difente totalmente las respuestas del test.,Good afternoon and excuse me but I cannot agree with the result since I did two tests and they gave the same diagnosis and the test responses were totally different.,Good afternoon and excuse me but I cannot agree with the result since I did two tests and they gave the same diagnosis and the test responses were totally different.
62,Wysa: tu entrenador de felicidad,Salud y bienestar,4.7,1000000,Touchkin,16 de junio de 2020,"La aplicación es realmente agradable y efectiva. Es difícil para mí comunicarme con mis amigos y las demás personas, pero está aplicación brinda una experiencia muy similar a la vez que es productiva. Me ayuda a identificar mis problemas, maneras en las que debería actuar frente a ellos e incluso me ayuda a pasar un rato agradable y charlar un poco. Aunque la aplicación está en inglés solo tengo que usar el traductor de Google para resolver mis dudas y listo. La recomiendo mucho.","The application is really nice and effective. It is difficult for me to communicate with my friends and other people, but this application provides a very similar experience while being productive. It helps me identify my problems, ways in which I should deal with them and even ... Full review","The application is really nice and effective. It is difficult for me to communicate with my friends and other people, but this application provides a very similar experience while being productive. It helps me identify my problems, ways in which I should deal with them, and even helps me have a good time and have a little chat. Although the application is in English, I only have to use the Google translator to answer my questions and that's it. I highly recommend her."
63,Test de Depresión,Medicina,3.9,100000,MoodTools,18 de abril de 2020,Es exelente 🙂 Ame esta app es muy sincera . No ocupo mucho espacio en mi celular y además después de realizar el test te recomienda sitios para mejorar la deprecion,"It is excellent 🙂 Love this app is very sincere. I don't take up much space on my cell phone and also after taking the test, he recommends sites to improve depreciation.","It is excellent 🙂 Love this app is very sincere. I don't take up much space on my cell phone and also after taking the test, he recommends sites to improve depreciation"
64,Pura Mente: Meditar es simple,Salud y bienestar,4.8,50000,Pura Mente,24 de mayo de 2020,"No hay manera de registrarme me da constantemente error!! No puedo entrar a ""Soporte"" para ayuda tampoco. Es una pena! Por favor, que me recomiendan, sigo bien los pasos, pongo todos los datos y persiste el error!!","There is no way to register it constantly gives me an error !! I can't go to ""Support"" for help either. It's a shame! Please, they recommend me, I follow the steps well, I put all the data and the error persists !!","There is no way to register it constantly gives me an error !! I can't go to ""Support"" for help either. It's a shame! Please, they recommend me, I follow the steps well, I put all the data and the error persists !!"
65,Psicologia de la Depresión,Salud y bienestar,4.7,100000,Nice-Apps,30 de marzo de 2020,Muy clara accesible un gran apoyo para el familiar de un paciente gracias,Very clear accessible great support for a patient's family thanks,Very clear accessible great support for a patient's family thanks
66,Psicologia de la Depresión,Salud y bienestar,4.7,100000,Nice-Apps,30 de marzo de 2020,"Genial, muy educativa y explicada en una terminología sencilla.","Great, very educational and explained in simple terminology.","Great, very educational and explained in simple terminology."
67,"Mejor con Salud - Belleza, dieta y bienestar",Salud y bienestar,4.5,100000,Grupo MContigo,13 de junio de 2020,Muy buenos consejos de salud....me encanta la página....,Very good health advice .... I love the page ....,Very good health advice .... I love the page ....
68,El Psicólogo,Estilo de vida,4.3,500000,Frenys,19 de mayo de 2017,"Frases muy certeras en el desempeño como terapeuta, me gustaron varias, pero más la que hace referencia a la empatía, mucha gente no sabe ser empática.","Very accurate phrases in the performance as a therapist, I liked several, but more the one that refers to empathy, many people do not know how to be empathetic.","Very accurate phrases in the performance as a therapist, I liked several, but more the one that refers to empathy, many people do not know how to be empathetic."
69,Lojong: Meditación y Mindfulness -Ansiedad +Sueño,Salud y bienestar,4.9,1000000,Unisollus,26 de mayo de 2020,"Es la mejor aplicación que he probado. El diseño que tiene genera un acompañamiento ideal, es muy dinámica, armoniosa y sencilla. La claridad con la que describen las explicaciones y su forma de expresarse transmiten paz y motivan a continuar las prácticas. La variedad de sesiones y temáticas que abordan, dan complemento a las meditaciones, te invita a entenderte y conocerte a vos mismo. Hermosa aplicación, mis felicitaciones por tan comprometido trabajo.","It is the best application I have ever tried. The design it has generates an ideal accompaniment, it is very dynamic, harmonious and simple. The clarity with which they describe the explanations and their way of expressing themselves transmit peace and motivate them to continue the practices. The variety of sessions and themes that ... Full opinion","It is the best application I have ever tried. The design it has generates an ideal accompaniment, it is very dynamic, harmonious and simple. The clarity with which they describe the explanations and their way of expressing themselves transmit peace and motivate them to continue the practices. The variety of sessions and topics they address, complement the meditations, invites you to understand yourself and get to know yourself. Beautiful application, my congratulations on such a committed work."
70,Remente - Desarrollo personal,Salud y bienestar,4.3,500000,Remente,8 de junio de 2020,"Excelente app, primera vez que la utilizo y de verdad siento que está generando cambios en mí. Tiene muchas cosas que puedes hacer, cursos, graves motivacionales, diariamente me envían correos bastante buenos la verdad. Lo que más me encanta de la aplicación son los recordatorios que asisten en las notificaciones, los puedes personalizar y enserio ayudan mucho para que no olvides cuál es tu objetivo! Super recomendada","Excellent app, first time I use it and I really feel that it is generating changes in me. It has many things you can do, courses, motivational bass, they send me pretty good emails every day. What I love most about the application are the reminders that come in the ... Full review","Excellent app, first time I use it and I really feel that it is generating changes in me. It has many things you can do, courses, motivational bass, they send me pretty good emails every day. What I love most about the application are the reminders that assist in notifications, you can customize them and they really help a lot so you don't forget what your goal is! Super recommended"
71,"Mejor con Salud - Belleza, dieta y bienestar",Salud y bienestar,4.5,100000,Grupo MContigo,13 de junio de 2020,"Excelentes artículos, muy interesantes y abarcan todo tipo de temas, ya sean de interés nutricional, médico, científico, etc.","Excellent articles, very interesting and cover all kinds of topics, be they of nutritional, medical, scientific interest, etc.","Excellent articles, very interesting and cover all kinds of topics, be they of nutritional, medical, scientific interest, etc."
72,Wysa: tu entrenador de felicidad,Salud y bienestar,4.7,1000000,Touchkin,16 de junio de 2020,"Excelente aplicación, ayuda a meditar y a dar claridad. muy buena si sufres de ansiedad y esta llena de información muy buena","Excellent application, helps to meditate and give clarity. very good if you suffer from anxiety and it is full of very good information","Excellent application, helps to meditate and give clarity. very good if you suffer from anxiety and it is full of very good information"
73,Medita con Petit BamBou: mindfulness y sueño,Salud y bienestar,4.7,1000000,FeelVeryBien sarl,12 de junio de 2020,"Es una buena aplicación, pero... Tienen muchos modos y tipos de meditación, pero solo el de inicio es gratis y por los demás tienes que pagar una cuota mensual que te vale como el Netflix o el hbo. La verdad, me estaba gustando hasta que vi esto, podrían vender paquetes por tipos por ejemplo...","Excellent application, you can see the work of professionals in meditation, behind this App thank you very much Ludovic for taking the time to write and be aware of your project. meditation is short but forceful, I really like it. I understand the concept and I'm sure to start ... Full opinion","It is a good application, but ... They have many modes and types of meditation, but only the start is free and for others you have to pay a monthly fee that is worth it like Netflix or hbo. Actually, I was liking it until I saw this, they could sell packages by types for example ..."
74,PSY online terapia psicologia. Сhat apoyo anónimo.,Salud y bienestar,4.3,500000,INVOLTA INC,16 de junio de 2020,"Me encanto la app, le doy 3 estrellas porque, de la nada me apareció que tengo un error de conexión, siendo que mi net esta bien y no tengo problemas de conectividad en otras apps.... subiré las estrellas si me ayudan por favor...... Ahi subi a las 5 estrellas .... gracias por la ayuda","I loved the app, I give it 3 stars because, out of nowhere it appeared to me that I have a connection error, since my net is fine and I have no connectivity problems in other apps .... I will upload the stars if they help me please ...... There I went to 5 stars .... thanks for the help","I loved the app, I give it 3 stars because, out of nowhere it appeared to me that I have a connection error, since my net is fine and I have no connectivity problems in other apps .... I will upload the stars if they help me please ...... There I went to 5 stars .... thanks for the help"
75,El Poder de la mente,Estilo de vida,4.5,100000,Emprendedora apps,20 de diciembre de 2019,"La verdad no se para que la actualizaron se supone que hablan del poder de la mente y ahora apuntan mas a lo financiero y ademas juegos !!! Ya aplicaciones de juegos ,Un desastre antes estaba interesante ahora noo la desinstalo !!!","The truth is that they did not update it, they are supposed to talk about the power of the mind and now they aim more at the financial and also games !!! Already game applications, A disaster before was interesting now I do not uninstall it !!!","The truth is that they did not update it, they are supposed to talk about the power of the mind and now they aim more at the financial and also games !!! Already game applications, A disaster before was interesting now I do not uninstall it !!!"
76,Salud Savia,Salud y bienestar,4.0,100000,SALUD SAVIA,5 de junio de 2020,"En fin, pensé que era una gran app pero no. No te contestan a tus dudas, dudas que se pueden responder sin necesidad de ir al hospital.. Porque no hablo de dudas de urgencia.. Y alguna más que otra un poco entonada en hablar, una vergüenza. 1 estrella y porque no puedo poner menos","Anyway, I thought it was a great app but no. They do not answer your doubts, doubts that can be answered without having to go to the hospital ... Because I do not speak of urgent doubts ... And some more than others a little intoned to speak, a shame. 1 star and why can't I put less","Anyway, I thought it was a great app but no. They do not answer your doubts, doubts that can be answered without having to go to the hospital ... Because I do not speak of urgent doubts ... And some more than others a little intoned to speak, a shame. 1 star and why can't I put less"
77,Serenmind: tu app de ayuda psicológica,Salud y bienestar,4.3,5000,Serenmind,16 de junio de 2020,"Me parece una herramienta alucinante. Muy buen asistente para quien tenga dificultades para acceder presencialmente a un psicoterapeuta y mejor aún para complementar la terapia presencial. La inteligencia del equipo investigador que hay detrás se hace patente en la calidad de los contenidos. Recomiendo 100% su uso, incluso personas que no reconozcan padecer ""un problema"" pueden beneficiarse de sus módulos psicoeducativos y prácticos.",I find it an amazing tool. Very good assistant for those who have difficulties accessing a psychotherapist in person and even better to complement face-to-face therapy. The intelligence of the research team behind it is evident in the quality of the content. Recommend ... Full opinion,"I find it an amazing tool. Very good assistant for those who have difficulties accessing a psychotherapist in person and even better to complement face-to-face therapy. The intelligence of the research team behind it is evident in the quality of the content. I 100% recommend its use, even people who do not acknowledge having ""a problem"" can benefit from its psychoeducational and practical modules."
78,PNL práctico,Estilo de vida,4.3,100000,Metta Apps,3 de mayo de 2020,El audio 11 tecnica del chasquido 1 y 2 wl audio se corta y perdes parte del ejercicio,The audio 11 click technique 1 and 2 the audio is cut and you lose part of the exercise,The audio 11 click technique 1 and 2 the audio is cut and you lose part of the exercise
79,AtentaMente - Meditación y Felicidad,Salud y bienestar,4.4,10000,AtentaMente,29 de mayo de 2020,"La aplicación lleva dando fallos meses, ahora ni siquiera me permite el acceso. Una pena porque llevo con ella al menos dos años! Intentaré desinstalarla y volverla a instalar.","The application has been failing for months, now it doesn't even allow me access. A shame because I have been with her for at least two years! I will try to uninstall it and reinstall it.","The application has been failing for months, now it does not even allow me access. A shame because I have been with her for at least two years! I will try to uninstall it and reinstall it."
80,Moodpath - Depression & Anxiety Test,Medicina,4.6,1000000,MindDoc Health,10 de junio de 2020,"Es muy buena aplicación. Excelente. Es fácil de usar y tiene muchas preguntas que te ayudan a entender más sobre tí. La recomiendo mucho. La versión gratuita tiene lo suficiente para ayudarte y darte evaluaciones de tu salud mental. La versión Premium parece tener más recursos sobre cómo cambiar los problemas que van surgiendo conforme contestas las preguntas, pero no es necesario tener la membresía para beneficiarse de esta app.",It is a very good application. Excellent. It is easy to use and has many questions that help you understand more about yourself. I highly recommend her. The free version has enough to help you and give you evaluations of your mental health. The Premium version seems to have more resources on how to change the ... Full opinion,"It is a very good application. Excellent. It is easy to use and has many questions that help you understand more about yourself. I highly recommend her. The free version has enough to help you and give you evaluations of your mental health. The Premium version seems to have more resources on how to change the problems that arise as you answer the questions, but it is not necessary to have the membership to benefit from this app."
81,El Poder de la mente,Estilo de vida,4.5,100000,Emprendedora apps,20 de diciembre de 2019,"Gauuu, que buena aplicación. Amo los temas de autosuperación, autoayuda, física cuántica, etc. Esta aplicación aborda este tipo de temática, abordando items, como ley de atracción, como influye tu mente, exito y decenas de items, de forma corta pero precisa, con conceptos con mucho fundamento. Yo la empecé a usarla y leer y le juro que a minutos ya me la cambió para muy bien. Te estimula sin hacerte sentir culpable de que no usas tu mente a favor.","Gauuu, what a good application. I love the topics of self-improvement, self-help, quantum physics, etc. This application addresses this type of theme, addressing items, such as the law of attraction, how your mind influences, success and dozens of items, in a short but precise way, with concepts with a lot of foundation. I the ... Full review","Gauuu, what a good application. I love the topics of self-improvement, self-help, quantum physics, etc. This application addresses this type of theme, addressing items, such as the law of attraction, how your mind influences, success and dozens of items, in a short but precise way, with concepts with a lot of foundation. I started using it and reading it and I swear that within minutes it had changed for me very well. It stimulates you without making you feel guilty that you don't use your mind in favor."
82,Meditación Guiada Gratis,Salud y bienestar,4.3,10000,AbacaxiApps,21 de mayo de 2020,"Me encantó esta aplicación, porque me gusta meditar, me ayuda en mi día a día a enfrentar las cosas que se presentan a dar las gracias por lo que tengo y por lo que vendrá, me encantó porque es completa, correcta y te llena de paz y tranquilidad La recomiendo para todos de todas las edades porque es efectiva y al hacerlo eran que su día a día cambia y Uds se sentirán felices y mejor con ustedes mismos felicitaciones a quienes la crearon es exelente!! Namaste!! 🙏","I loved this application, because I like to meditate, it helps me in my day-to-day to face the things that appear to thank for what I have and for what will come, I loved it because it is complete, correct and fills you with peace and tranquility I recommend it for everyone of all ages because it is ... Full review","I loved this application, because I like to meditate, it helps me in my day to day to face the things that appear to thank for what I have and for what will come, I loved it because it is complete, correct and fills you with peace and tranquility I recommend it to everyone of all ages because it is effective and in doing so it was that your day to day changes and you will feel happy and better with yourselves congratulations to those who created it is excellent !! Namaste !! 🙏"
83,Remente - Desarrollo personal,Salud y bienestar,4.3,500000,Remente,8 de junio de 2020,"Es una excelente aplicación para hacer un seguimiento de tus pensamientos diarios, cosa que te ayuda enormemente con tu crecimiento personal, bastante atractiva visualmente y muy intuitiva de utilizar, en mi caso 5 estrellas queda corto ( recuerden que la aplicación no es Mágica, funciona porque ustedes tienen la voluntad de seguir a lo que está los ayuda )","It is an excellent application to keep track of your daily thoughts, which helps you greatly with your personal growth, quite visually attractive and very intuitive to use, in my case 5 stars falls short (remember that the application is not Magic, it works because ust ... Full opinion","It is an excellent application to keep track of your daily thoughts, which helps you greatly with your personal growth, quite visually attractive and very intuitive to use, in my case 5 stars falls short (remember that the application is not Magic, it works because you have the will to follow what is helping you)"
84,Pura Mente: Meditar es simple,Salud y bienestar,4.8,50000,Pura Mente,24 de mayo de 2020,"Magnifico!! Ayuda mucho a relajarse,,,tanto q a veces me quedo hasta dormida,,,la voz de la chica muy dulce, lo recomiendo!","Magnificent!! It helps a lot to relax ,,, so much that sometimes I even fall asleep ,,, the voice of the girl very sweet, I recommend it!","Magnificent!! It helps a lot to relax ,,, so much that sometimes I even fall asleep ,,, the voice of the girl very sweet, I recommend it!"
85,Test de Depresión,Medicina,3.9,100000,MoodTools,18 de abril de 2020,ya no funcionan ninguno de los links o numero de telefono,None of the links or phone number work anymore,None of the links or phone number work anymore
86,Pixels - Estados de Ánimo y Mindfulness,Estilo de vida,4.7,500000,Teo Vogel,8 de junio de 2020,"Muy buena aplicación la recomiendo, me gusta que se pueda hacer una copia de seguridad fácilmente y luego exportala cuando quieras. Ya casi termino el año","Very good application, I recommend it, I like that it can be easily backed up and then exported whenever you want. The year is almost over","Very good application, I recommend it, I like that it can be easily backed up and then exported whenever you want. The year is almost over"
87,Eleva tu Autoestima y Superación Personal,Salud y bienestar,4.7,10000,Recetas Comida Dietas y más Apps gratis ComRecApps,5 de abril de 2020,"Cada libro es un tesoro pero este es más aún. Me ha ayudado mucho felicidades a la autora ,sigan sacando mas material como este,en serio he disfrutado mucho del contenido","Each book is a treasure but this is even more. It has helped me a lot, congratulations to the author, keep getting more material like this, I really enjoyed the content a lot","Each book is a treasure but this one is even more. It has helped me a lot, congratulations to the author, keep getting more material like this, I really enjoyed the content a lot"
88,"Autoestima, el verdadero amor",Estilo de vida,4.2,100000,Metta Apps,29 de abril de 2020,Gran app la verdad es que ase mucho que no sentia nada y solo empesaba a sentir que no importaba y que en cualquier momento moriria sin inportarle a nadie pero aprendi a que amarse y encontrarse co sigo mismo es lo que ase ver que a alguien le importas y te valora y es solo a ti mismo que gran app de autoayuda si la haiga conocido antes mi vida orita mismo seria la mejor pero el cambio lo es todo que mejor que esta app para demostrar que es lo unico que nos debe inportar y muchas veces falta eso.,"Great app, the truth is that he felt that he did not feel anything and only began to feel that it did not matter and that at any moment he would die without importing anyone but he learned that loving and being with yourself is what it is to see that someone cares and values ​​you and it is only yourself that great app of ... Full opinion","Great app, the truth is that it is a lot that I did not feel anything and I only started to feel that it did not matter and that at any moment I would die without importing anyone but I learned that loving and being with yourself is what it is to see that someone cares about you and it values ​​you and it is only yourself that great self-help app if you have known it before my life orita itself would be the best but the change is everything that better than this app to demonstrate that it is the only thing that should import us and many times that is missing."
89,Ejercicios para el cerebro,Entretenimiento,4.5,100000,ABC Programming,7 de abril de 2020,"Todos los juegos están bien desarrollados. Sólo tengo dificultad con Pasatiempo, no puedo cumplir la consigna: arrastro las imágenes para ubicarlas, pero vuelven al lugar original. Evidentemente, debo estar haciendo algo mal, pero no me doy cuenta de qué es.","All games are well developed. I only have difficulty with Hobby, I cannot fulfill the slogan: I drag the images to locate them, but they return to the original place. Obviously, I must be doing something wrong, but I don't realize what it is.","All games are well developed. I only have difficulty with Hobby, I cannot fulfill the slogan: I drag the images to locate them, but they return to the original place. Obviously, I must be doing something wrong, but I don't realize what it is."
90,"Isotonos - Relajación, Meditación, Salud",Salud y bienestar,4.5,100000,ronin2ninja,24 de diciembre de 2019,"Hay algunos isotonos que no suenan y otros que se detienen súbitamente y al cabo de unos segundos sigue, lo cual es molesto. Por lo demás, bien. No son ni milagrosos ni mágicos ni lo pretenden, pero ayudan. El Nirvana - Dormir es mi favorito para dormir. Epsilon y Chakra del amor para meditar. Hay muchos otros que también son bastante útiles. Pero corrijan ese error de detención súbita!","There are some isotones that don't sound and others that stop suddenly and after a few seconds it continues, which is annoying. Otherwise well. They are neither miraculous nor magical nor are they intended, but they help. Nirvana - Sleep is my favorite to sleep. Epsilon and Chakra of love to meditate. There m ... Full review","There are some isotones that don't sound and others that stop suddenly and after a few seconds it continues, which is annoying. Otherwise well. They are neither miraculous nor magical nor are they intended, but they help. Nirvana - Sleep is my favorite to sleep. Epsilon and Chakra of love to meditate. There are many others that are also quite useful. But correct that sudden stop error!"
91,Ser feliz Reto 30 días,Estilo de vida,4.0,100000,Metta Apps,29 de abril de 2020,"Me encanta la app, me ha ayudado a coordinarme más con cosas que antes era muy dispersa 🥰🥰🥰🥰🥰🥰","I love the app, it has helped me coordinate more with things that were very scattered before 🥰🥰🥰🥰🥰🥰","I love the app, it has helped me coordinate more with things that were previously very scattered 🥰🥰🥰🥰🥰🥰"
92,Smylife - Felicidad diaria,Salud y bienestar,4.3,10000,Smylife SAS,23 de noviembre de 2017,"Oye esta app es justo lo que buscaba, ahora les pido una mejora, mucho más vida y colores más bonitos actualicenla por favor, si debo de pagar esta bien","Hey this app is just what I was looking for, now I ask you for an improvement, much more life and more beautiful colors update it please, if I must pay this well","Hey this app is just what I was looking for, now I ask you for an improvement, much more life and more beautiful colors update it please, if I must pay this well"
93,"Psicólogos Online, Diario emocional y Mindfulness",Salud y bienestar,4.3,100000,ifeel,1 de junio de 2020,"La aplicación está muy bien y van mejorando cositas. Las dos psicólogas que me han tratado se ven profesionales y muy dedicadas en su trabajo. Les agradezco sus intentos de ayudarme. También debo decir que supongo que cada caso es un mundo, pero para progresar de verdad también se necesitan meses o años de terapia, si tus problemas son ""reales"". Sale un poquito caro, pero si necesitas que te escuchen y te aconsejen está bien. Probadlo si os sentís estancados o no sabéis cómo solucionar algo, tal vez os puedan guiar un poco.","The application is very good and things are improving. The two psychologists who have treated me look professional and very dedicated in their work. I appreciate your attempts to help me. I must also say that I suppose that each case is a world, but to really progress it also takes months or ... Full opinion","The application is very good and things are improving. The two psychologists who have treated me look professional and very dedicated in their work. I appreciate your attempts to help me. I must also say that I suppose that each case is a world, but to really progress it also takes months or years of therapy, if your problems are ""real"". It is a little expensive, but if you need to be listened to and advised you are fine. Try it if you feel stuck or don't know how to fix something, maybe they can guide you a bit."
94,Ansiedad y estrés,Salud y bienestar,4.0,100000,Metta Apps,2 de mayo de 2020,"No se escuchan los audios, no me cargan porque será???","The audios are not heard, they do not load me because it will be ???","The audios are not heard, they do not load me because it will be ???"
95,Salud Mental,Salud y bienestar,4.6,50000,Charnan.7,17 de enero de 2019,"Es una app realmente buena, pero aún le queda un largo camino por recorrer. Felicidades a los creadores y mis mejores deseos.","It is a really good app, but you still have a long way to go. Congratulations to the creators and my best wishes.","It is a really good app, but you still have a long way to go. Congratulations to the creators and my best wishes."
96,Cíngulo: Terapia Guiada,Salud y bienestar,4.9,1000000,Cíngulo,17 de junio de 2020,"Que lindooo. Lastima que no tenga traduccion! No puedo usarla, sovre todo porque son audios. Espero tener acceso algun dia!","So nice. Too bad it doesn't have a translation! I can't use it, I use it all because they are audio. I hope to have access someday!","So nice. Too bad it doesn't have a translation! I can't use it, I use it all because they are audio. I hope to have access someday!"
97,Diario de animo y preguntas (anti depresión),Estilo de vida,4.3,500000,Reflexio Team,31 de mayo de 2020,"Esta aplicacion es excelente, incluso en su version gratuita, solo con no tener anuncios ya vale la pena, apenas la he probado y ya he comprado la version Premium, no entiendo como se queja la gente de que no sea gratis cuando ronda los 3€ y es un pago único. Encantada de colaborar para que podais seguir desarrollando!!","This application is excellent, even in its free version, just having no ads is worth it, I have hardly tried it and I have already bought the Premium version, I do not understand how people complain that it is not free when it is around € 3 and it's a one-time payment. Delighted to collaborate so that you can s ... Full review","This application is excellent, even in its free version, just having no ads is worth it, I have hardly tried it and I have already bought the Premium version, I do not understand how people complain that it is not free when it is around € 3 and it's a one-time payment. Delighted to collaborate so that you can continue developing !!"
98,El Psicólogo,Estilo de vida,4.3,500000,Frenys,19 de mayo de 2017,Es La Mejor Aplicación Psicólogo Ayuda Muchisimo Es Total Mente Genila Me Encanta Ayuda A Que Reflexionemos,It is the best application Psychologist Helps A Lot It Is Total Genilla Mind I Love It Helps We Reflect,It is the best application Psychologist Helps A Lot It Is Total Genilla Mind I Love It Helps We Reflect
99,Ser feliz Reto 30 días,Estilo de vida,4.0,100000,Metta Apps,29 de abril de 2020,"Me gusta mucho la app, pero al escuchar la meditación cuando se apaga la pantalla ( 10 min como max en mi tlf) se corta, ¿como podrían solucionar esto?","I really like the app, but when listening to the meditation when the screen is turned off (10 min as max on my phone) it is cut, how could they solve this?","I really like the app, but when listening to the meditation when the screen is turned off (10 min as max on my phone) it is cut, how could they solve this?"
100,Meditación Guiada Gratis,Salud y bienestar,4.3,10000,AbacaxiApps,21 de mayo de 2020,La mejor aplicación gratis que encuentras,The best free application you find,The best free application you find
101,El Psicólogo,Estilo de vida,4.3,500000,Frenys,19 de mayo de 2017,Los anuncios son los unico que no me dejan pero después lo demas está todo bien,The ads are the only ones that do not let me but then the rest is all good,The ads are the only ones that do not let me but then the rest is all good
102,Bambú 🍃 Meditación guiada y sonidos para dormir,Salud y bienestar,4.2,10000,Rocka,1 de junio de 2020,"Excelente, intuitiva y con muchas opciones. La mejor app que tengo en mi celular.","Excellent, intuitive and with many options. The best app I have on my cell phone.","Excellent, intuitive and with many options. The best app I have on my cell phone."
103,PNL práctico,Estilo de vida,4.3,100000,Metta Apps,3 de mayo de 2020,"Es una excelente aplicación, es una guía impresionante para los que recién ingresan en este mundo. Solo agregaría algo como parar hacer copias de seguridad, para poder guardar la info si cambias de teléfono.","It is an excellent application, it is an impressive guide for those who are just entering this world. I would only add something like stop making backups, to be able to save the info if you change your phone.","It is an excellent application, it is an impressive guide for those who are just entering this world. I would only add something like stop making backups, to be able to save the info if you change your phone."
104,Fabulous: ¡Motívame!,Salud y bienestar,4.5,5000000,TheFabulous,4 de mayo de 2020,"Me ha ayudado mucho en este tiempo de cuarentena, inicias con hábitos sencillos y poco a poco se van haciendo una rutina muy completa. No le doy 5 estrellas porque hay algunas partes mal traducidas, porque a veces se buggea con los recordatorios y porque me adelanta las acciones del día siguiente por lo que se marcan aunque aún no haya iniciado ese día sin poder desmarcarlas.","It has helped me a lot in this time of quarantine, you start with simple habits and little by little they become a very complete routine. I do not give it 5 stars because there are some parts poorly translated, because sometimes it bugges with reminders and because it advances the actions of the next day because ... Full opinion","It has helped me a lot in this time of quarantine, you start with simple habits and little by little they become a very complete routine. I do not give it 5 stars because there are some parts poorly translated, because sometimes it bugges with the reminders and because it advances the actions of the next day so they are marked even though I have not yet started that day without being able to unmark them."
105,Inteligencia emocional gratis,Salud y bienestar,4.4,10000,"Bible Studies, Embarazo y Dietas Free Libres",12 de mayo de 2020,Me gusto mucho me gustaría q tuviera una opción más fa fácil para compartir la aplicación,I really liked that I would like to have an easier option to share the application,I really liked that I would like to have an easier option to share the application
106,Remente - Desarrollo personal,Salud y bienestar,4.3,500000,Remente,8 de junio de 2020,"Me encanta!!! ❤ Desde que empezó la cuarentena del virus covid 19 la tengo, he aprendido demasiado y me ha apoyado en todo. Es un buen coach personal","I love it!!! ❤ Since the quarantine of the covid 19 virus started I have it, I have learned too much and it has supported me in everything. He is a good personal coach","I love it!!! ❤ Since the quarantine of the covid 19 virus started I have it, I have learned too much and it has supported me in everything. He is a good personal coach"
