,App_name,App_type,App_rate,App_downloads+,App_developer,App_last_update,App_review
107,Remente - Desarrollo personal,Salud y bienestar,4.3,500000,Remente,8 de junio de 2020,"Me encanta!!! ❤ Desde que empezó la cuarentena del virus covid 19 la tengo, he aprendido demasiado y me ha apoyado en todo. Es un buen coach personal"
108,Wysa: tu entrenador de felicidad,Salud y bienestar,4.7,1000000,Touchkin,16 de junio de 2020,"No es la primera vez que intento ocupar una aplicación que me ayude con mis problemas, pero esta ha sido la única que me ha hecho sentir bien, sus respuestas son cálidas y bien hechas, te hacen sentir cómoda y como si alguien te apoyara sin importar lo que piensen los demás, jamás había sentido tant...Opinión completa"
109,Salud Mental - psicólogo,Salud y bienestar,3.0,1000,USD Apps,29 de septiembre de 2018,No review
110,Cíngulo: Terapia Guiada,Salud y bienestar,4.9,1000000,Cíngulo,17 de junio de 2020,Me ha hecho bien! Excelente ! Súper recomendable.
111,Diario de animo y preguntas (anti depresión),Estilo de vida,4.3,500000,Reflexio Team,31 de mayo de 2020,"Me encanta, además te avisa par que no se te pase resolver las preguntas. Las preguntas son buenas! 💜"
112,Siente - Mindfulness y psicología positiva,Salud y bienestar,4.7,100000,Fundación facilisimo,21 de mayo de 2020,"Hola la app es genial, quiero continuar meditando pero hace una semana no logro avanzar de la sesión 13, por error en descarga. Agradecería que me ayuden!"
113,Ejercicios para el cerebro,Entretenimiento,4.5,100000,ABC Programming,7 de abril de 2020,"Esta aplicacion es muy buena , mantiene mi cerebro activo me hace pensar y actuar mas rapido y me mantenjo relajada. Lo recomiendo."
114,PD Test - Prueba de Trastornos de la Personalidad,Salud y bienestar,4.1,10000,People ‘n Droid,20 de abril de 2020,Es una buena aplicación y la verdad tiene mucha razón en cuanto muchas cosas 😳😳
115,El Poder de la mente,Estilo de vida,4.5,100000,Emprendedora apps,20 de diciembre de 2019,"Cordial saludo. La aplicación ESTABA entre las mejores de su categoría, lamentablemente hice uso de la última actualización y PERDÍ temas que venía acumulando durante meses, su presentación gráfica desmejoró, incorporaron unos juegos que en nada tienen que ver con la temática. Existe una política en...Opinión completa"
116,Bambú 🍃 Meditación guiada y sonidos para dormir,Salud y bienestar,4.2,10000,Rocka,1 de junio de 2020,"Es una aplicación muy buena, me ha servido y me ha encantado. Pero preferiría tener publicidad antes de cada meditación a estar pagando mensual y anualmente"
117,Mental Health Tests,Medicina,4.1,100000,"Mind Diagnostics, Inc.",14 de mayo de 2020,"Debería ser para todos ,sin importar la edad"
118,PD Test - Prueba de Trastornos de la Personalidad,Salud y bienestar,4.1,10000,People ‘n Droid,20 de abril de 2020,Me encanta está app.y pienso ke sus resultados son muy ciertos.
119,"Música para la meditación, para estrés y ansiedad",Salud y bienestar,4.7,100000,Dream_Studio,28 de marzo de 2020,"Genial!!! Las melodías son hermosas. El sonido, único."
120,"Psicólogos Online, Diario emocional y Mindfulness",Salud y bienestar,4.3,100000,ifeel,1 de junio de 2020,"App muy práctica! losProfesionales que trabajan en esta aplicación, són buenos en su trabajo.Lo que encontras aqui: te ayudaran a llegar del Punto A al Punto B, hay un seguimiento de tus emociones y herramientas muy eficaces que podrás usar en caso de que tu Terapeuta no este disponible(son humanos ...Opinión completa"
121,Inteligencia emocional gratis,Salud y bienestar,4.4,10000,"Bible Studies, Embarazo y Dietas Free Libres",12 de mayo de 2020,"Basura,hace que te sientas peor,busquen información por otro lado."
122,"Control y Monitor: Ansiedad, Ánimo y Autoestima",Estilo de vida,4.6,1000000,TwoCats App,22 de mayo de 2020,"La idea es muy buena y sin duda ayuda mucho emocionalmente, pero me gustaría que disponga de mayor variedad de actividades, test, consejos diarios, frases positivas o recuerdos de registros de felicidad y que traiga menos anuncios"
123,60 Juegos Mentales: Entrenamiento Cerebral Gratis,Preguntas y respuestas,4.0,5000000,Peoresnada.com,14 de junio de 2020,"Excelente app para retos mentales! Totalmente recomendada para todos. Sé que no debo decirlo (o tal vez si), pero me encantó que es la única app para esto, gratis... No hay cargos adicionales!! Eso es de agradecer porque está elaborada a la perfección, tanto en gráficas, como diseño, funcionalidad, ...Opinión completa"
124,Cíngulo: Terapia Guiada,Salud y bienestar,4.9,1000000,Cíngulo,17 de junio de 2020,"Hola ,creo que la app es muuuy buena ,con su evaluación me gusto mucho espero que pronto esté su versión en Español muchas gracias"
125,Como Ser Feliz,Estilo de vida,4.6,100000,Wilson Castrillon,2 de diciembre de 2018,"Una aplicación MÁGICA. Cada paso está lleno de palabras increíblemente reconfortantes. Esta aplicación me la descargué hace unos meses en el móvil de mi madre cuando estaba pasando un mal momento, y me mejoró muchisimo todo. Algo en mí mejoró. Pero se ve que no estaba del todo preparada para que mi ...Opinión completa"
126,Ejercicios para el cerebro,Entretenimiento,4.5,100000,ABC Programming,7 de abril de 2020,"Muy buena app...solo que tengo problemas en realizar el sounds, leo los pasos y al momento de jugarlo no ocurre nada de lo que debo de hacer y solo suena los fragmentos de la música...quisiera saber porque ocurre esto, lo demas todo perfecto👍👍"
127,Fabulous: ¡Motívame!,Salud y bienestar,4.5,5000000,TheFabulous,4 de mayo de 2020,"Es una excelente aplicación, te lleva por pequeños pasos pero seguros, hasta que se convierten en hábitos y forman parte de tu vida, a mí me ha funcionado muy bien. Solo que igual que muchas de las reseñas que hay, la copia de seguridad. A mí me ha pasado que tuve un problema con mi celular y se ten...Opinión completa"
128,Smylife - Felicidad diaria,Salud y bienestar,4.3,10000,Smylife SAS,23 de noviembre de 2017,Entré a la app con depresión y ahora estoy apunto de saltar de un puente.
129,Salud Savia,Salud y bienestar,4.0,100000,SALUD SAVIA,5 de junio de 2020,Desde que la uso. Por alguna patología. Los profesionales que te atienden son personas que te escuchan y ponen todos sus conocimientos para que mejores y te sientas bien. Además la app es excelente. No puede ser mejor.
130,"Mejor con Salud - Belleza, dieta y bienestar",Salud y bienestar,4.5,100000,Grupo MContigo,13 de junio de 2020,Muy buenos artículos y recomendaciones
131,Eleva tu Autoestima y Superación Personal,Salud y bienestar,4.7,10000,Recetas Comida Dietas y más Apps gratis ComRecApps,5 de abril de 2020,"Le falta maas 😁pero,Muy buena esta app!!"
132,MoodSpace - Ayuda para el estrés y la ansiedad,Medicina,4.7,100000,Boundless Labs,3 de junio de 2020,Me encantó. La estética es preciosa y definitivamente ayuda a entrar en calma. Con un mood tracker o uno de hábitos seria lo más perfecto. Se agradece que lo hayan puesto a la disposición de todo el mundo temporalmente. Definitivamente pagaré suscripción próximamente. Muy recomendado.
133,Ejercicios para mejorar la salud mental,Estilo de vida,1.0,100,summerapps2019,24 de septiembre de 2019,Estupido
134,Desordenes mentales,Educación,4.5,100000,Andrey Borzenko,12 de febrero de 2019,es muy bueno saber que existe esta App para aprender y apoyar a nuestra niña
135,Smylife - Felicidad diaria,Salud y bienestar,4.3,10000,Smylife SAS,23 de noviembre de 2017,Me ayuda mucho
136,"Control y Monitor: Ansiedad, Ánimo y Autoestima",Estilo de vida,4.6,1000000,TwoCats App,22 de mayo de 2020,"Me encanta sus actividades y test que me ayudan a saber que es lo que pasa conmigo, muy buena app!"
137,MoodSpace - Ayuda para el estrés y la ansiedad,Medicina,4.7,100000,Boundless Labs,3 de junio de 2020,"Excelente, me permite reflexionar sobre mi día a día y ver lo bueno. Me encantó la iniciativa de que la hicieran gratis debido a la pandemia, en dónde uno ve todo gris. Gracias."
138,Serenmind: tu app de ayuda psicológica,Salud y bienestar,4.3,5000,Serenmind,16 de junio de 2020,"Al no disponer de mucho tiempo, la app se acopla muy bien a mi porque puedo hacerlo cuando me viene bien. Además, los audios son sencillos y se entienden bien."
139,Pixels - Estados de Ánimo y Mindfulness,Estilo de vida,4.7,500000,Teo Vogel,8 de junio de 2020,Me gusta pero podría mejorar la forma de utilizarse agregar más cosas a los días
140,60 Juegos Mentales: Entrenamiento Cerebral Gratis,Preguntas y respuestas,4.0,5000000,Peoresnada.com,14 de junio de 2020,La app está muy buena y es divertida. Además siempre responden las reseñas ( tanto negativas como positivas ) así que si tienen un problema los ayudarán y si dicen algo bueno se los van a agradecer 😎😎
141,MoodSpace - Ayuda para el estrés y la ansiedad,Medicina,4.7,100000,Boundless Labs,3 de junio de 2020,"Excelente aplicación, me ha ayudado a ser más constante con aspectos de mi salud mental. Y en diseño es preciosa. La he recomendado a varias personas y les ha encantado. Espero pronto puedan añadir más meditaciones, estaría genial."
142,desordenes mentales,Libros y obras de consulta,4.3,100000,Helpful Books,17 de septiembre de 2018,"Me gustó bastante, más que nada porque los tengo en un solo sitio"
143,La Mente es Maravillosa - Psicología y relaciones,Noticias y revistas,4.8,100000,Grupo MContigo,13 de junio de 2020,"Me gusta mucho su contenido, clasificado por temáticas. Además incluye un buscador y la posiblidad de compartir los artículos. Pero el registro como usuario no tiene utilidad, no existe nuestro perfil propiamente dicho donde podamos personalizar preferencias, ni artículos favoritos, por ejemplo. Art...Opinión completa"
144,La Mente es Maravillosa - Psicología y relaciones,Noticias y revistas,4.8,100000,Grupo MContigo,13 de junio de 2020,"Tiene articulos interesantes aunque ya no te envian notificaciones como antes, :/ extraño eso."
145,Salud Savia,Salud y bienestar,4.0,100000,SALUD SAVIA,5 de junio de 2020,Muy buena aplicación aveces si tengo dudas de alguna molestia de salud o de mis hijos lo consulto en la aplicación ya que te responde médicos profesionales i si hay falta de ir a mí CAP también me lo dicen más de una vez me sacaron de dudas me encanta .
146,Salud Mental,Salud y bienestar,4.6,1000,com.mexiz.app,9 de octubre de 2017,"Eh buscado en muchas paginas pero  esta es  buena aunque no para mi, como todas la paginas no me ayudan, soy una de esas personas que con solo que te escriban ""Tu puedes hacerlo, no te rindas, tente fe"" todo eso me resvala no se lo que me pasa no puedo tomarmelo en serio y yo quiero. Estoy mucho tie...Opinión completa"
147,Como Ser Feliz,Estilo de vida,4.6,100000,Wilson Castrillon,2 de diciembre de 2018,"Pues me gusto mucho pero cumple lo que promete,si me animo y gracias por eso,le di 5 estrellas,aun asi la desinstale Porque no tengo espacio,pero no te debe de molestar cuantas descargas tenga ya que dijiste que el proposito era hacer felices a las personas.graciad de verdad ❤❤"
148,PSY online terapia psicologia. Сhat apoyo anónimo.,Salud y bienestar,4.3,500000,INVOLTA INC,16 de junio de 2020,"muchas gracias por esta aplicación,en mu canal de youtube eh subido un video de esta app,así,mucha gente podrá recuperarse de este problema,GRACIAS."
149,"Música para la meditación, para estrés y ansiedad",Salud y bienestar,4.7,100000,Dream_Studio,28 de marzo de 2020,"Me encantó hace rato estába buscando una app así, muy bueno los efectos de sonidos que se pueden cambiar. Exelente!"
150,60 Juegos Mentales: Entrenamiento Cerebral Gratis,Preguntas y respuestas,4.0,5000000,Peoresnada.com,14 de junio de 2020,"Gracias a la adaptacion que me pasasteis ya puedo jugar correctamente pero en algunos ejercicios como el mental #4 en dificultad genio se bloquean hasta llegar a determinada puntuacion. Por ejemplo: no puedo puntuar mas de 5, no acepta la respuesta seleccionada. Este error suele ocurrir en algunos e...Opinión completa"
151,Psicologia de la Depresión,Salud y bienestar,4.7,100000,Nice-Apps,30 de marzo de 2020,"No lo he acabado de leer todo pero por lo que he visto tiene demasiada información y la verdad es muy útil, solo hay que saber manejarla bien."
152,Psicología Positiva Fácil,Salud y bienestar,4.1,50000,3Temes Publishers,29 de diciembre de 2014,"Es un tratado de psicologia, muy bueno y facil de leer. Un tratado muy valioso, lo recomiendo"
153,"Autoestima, el verdadero amor",Estilo de vida,4.2,100000,Metta Apps,29 de abril de 2020,Es una muy buena aplicación. Ya tiene tiempo que la use pero la vuelvo a descargar porque los audios me relajan demasiado y hasta me ayudan a dormir jaja ¡ Excelente!
154,desordenes mentales,Libros y obras de consulta,4.3,100000,Helpful Books,17 de septiembre de 2018,No le pongo 5 porque debería de haber opciones para quitar esos molestos anuncios porque está bien una versión gratuita con anuncios y otra con pago módico sin anuncios porque es muy invasivo eso y desconcentra demasiado.
155,Desordenes mentales,Educación,4.5,100000,Andrey Borzenko,12 de febrero de 2019,Me encanta esta app! Algunos de los transtornos que tienes que ver con ser antisocial y eso los tengo yo 😫. La app es muy informativa 👍👍👍
156,AtentaMente - Meditación y Felicidad,Salud y bienestar,4.4,10000,AtentaMente,29 de mayo de 2020,"No recomiendo ampliamente está aplicación para principiantes, creo que es muy difícil distraerse durante las sesiones debido a la voz del guía y a qué no hay alguna música de fondo para facilitar el proceso. Además, durante algunas sesiones la manera de guiar es haciendo preguntas que no te permiten...Opinión completa"
157,Inteligencia emocional gratis,Salud y bienestar,4.4,10000,"Bible Studies, Embarazo y Dietas Free Libres",12 de mayo de 2020,Encuentro en falta ejercicios y técnicas de inteligencia emocional
158,Calm: Meditación y Sueño,Salud y bienestar,4.4,10000000,"Calm.com, Inc.",11 de junio de 2020,"La uso más que nada para hacer el ejercicio de respiración. Me ayuda xq mientras me dice cuando inhalar, reter y exhalar, de fondo pone música tranquila. Las demás opciones casi ni las uso. Muchas veces nos olvidamos de lo importante que es darse un ratito para uno, y esto te lo hace recordar.. Está...Opinión completa"
159,"Isotonos - Relajación, Meditación, Salud",Salud y bienestar,4.5,100000,ronin2ninja,24 de diciembre de 2019,"Es sencilla y su catálogo es muy útil, me ayuda cada noche a conciliar el sueño. Después de pasar por un pereodo de abstinencia por el uso de medicamentos para la ansiedad está app ayuda a equilibrar las emociones de mi cuerpo y a dormir tranquilo, simplemente genial, estoy infinitamente agradecido ...Opinión completa"
160,Psicología Positiva Fácil,Salud y bienestar,4.1,50000,3Temes Publishers,29 de diciembre de 2014,"Me encantó.  Le podrian agregar mas tests?  Muchas gracias su aplicacion me ayuda con mi vida,  estoy pasando por momentos duros en verdad y esto me ayuda y me saca muchas dudas,  tambien me ayuda a conocerme mejor a mi mismo.  Les agradezco de corazon.  De corazon GRACIAS!!!"
161,"Autoestima, el verdadero amor",Estilo de vida,4.2,100000,Metta Apps,29 de abril de 2020,Es muy bonita solo q no me aparesen todas las letras creeo q solo es un defecto de mi cel ...
162,PsicoTests,Medicina,4.6,1000000,Psique Apps,24 de febrero de 2020,"Es interesante ,te ayuda en tus dudas ,aprendes cosas que no sabías y por eso le doy cinco estrellas realmente buena y recomendable .El único inconveniente es los anuncios tal vez algo seguidos ,aunque es gratis y hay que comprender eso ,por lo demás fenomenal de 10"
163,Medita con Petit BamBou: mindfulness y sueño,Salud y bienestar,4.7,1000000,FeelVeryBien sarl,12 de junio de 2020,"Muy buena. Sin embargo ha tenido fallos habían quitado las meditaciones de miedo, ansiedad y duelo que estaban gratis hasta las había descargado y se habían borrado. Tengo una serie seguidas de meditar de 63 pero se borró y se ahora solo muestra que solo he hecho 11. La verdad no sé que está ocurrie...Opinión completa"
164,PsicoTests,Medicina,4.6,1000000,Psique Apps,24 de febrero de 2020,"La aplicación está ok, pero desde que le metieron publicidad se ha convertido en una basura, no para de avisar indebidamente solo con la intención de meter más publicidad, cada vez que haces un test tienes que tragarte varios anuncios forzosos, es ABUSIVO!! No me van a dar más opcion que borrar la a...Opinión completa"
165,Siente - Mindfulness y psicología positiva,Salud y bienestar,4.7,100000,Fundación facilisimo,21 de mayo de 2020,"De los terminos y condiciones de la aplicacion: 6 .- Modificación de las condiciones de uso FUNDACIÓN FACILISIMO se reserva el derecho de desarrollar o actualizar en cualquier momento las Condiciones de Servicio de la App Siente y su Política de Privacidad, por lo que el usuario deberá leerlas perió...Opinión completa"
166,Mental Health Tests,Medicina,4.1,100000,"Mind Diagnostics, Inc.",14 de mayo de 2020,Buena
167,Ser feliz Reto 30 días,Estilo de vida,4.0,100000,Metta Apps,29 de abril de 2020,"Es genial!, me super ayudó, solo que al fin y al cabo sigo sintiendo algo por ella...., pero aún así muy buena la app, la recomendaría"
168,"Psicólogos Online, Diario emocional y Mindfulness",Salud y bienestar,4.3,100000,ifeel,1 de junio de 2020,"Absolutamente recomendable y maravilloso servicio. Sólo las personas que sufrimos de algún tipo de trastorno mental, sabemos lo que es sentirse sólo e incomprendido. Esta aplicación arroja un poco de luz donde todo parecía oscuro. Es un chaleco salvavidas. Gracias, gracias y MIL VECES GRACIAS."
169,Calm: Meditación y Sueño,Salud y bienestar,4.4,10000000,"Calm.com, Inc.",11 de junio de 2020,"Me gusta, la uso a diario para meditar o para dormirme. Me encantaría que la música tuviera reproducción continua con varios autores del mismo tema (a veces ya estoy totalmente concentrada y se acaba el tiempo de reproducción). Me parece que falta más variedad en temas de meditación como la sanación...Opinión completa"
170,"Isotonos - Relajación, Meditación, Salud",Salud y bienestar,4.5,100000,ronin2ninja,24 de diciembre de 2019,"Hola. Me gusta la app. Se que la intención es positiva pero muchos tonos se detienen y dejan de escucharse. La opción de ""almacenar"" no funciona. No se direcciona a ninguna carpeta de sonidos ni en la memoria principal ni en la sd. Sin embargo gracias. Estaré pendiente de su actualización para recom...Opinión completa"
171,Calm: Meditación y Sueño,Salud y bienestar,4.4,10000000,"Calm.com, Inc.",11 de junio de 2020,"Me gusta mucho la app, últimamente estoy durmiendo escuchando lo poco disponible, me parece una lastima que se tenga que pagar por prácticamente todo, el 95% de lo ""disponible"". Sólo por eso,le doy 3 estrellas porque te obliga a pagar básicamente. Y acá en Argentina está como difícil pagar en dólare...Opinión completa"
172,Salud Mental,Salud y bienestar,4.6,50000,Charnan.7,17 de enero de 2019,me parece una aplicacion muy interesante llena de conocimientos que permiten que puedan cerles utiles a miles de personas para prevenir muchas enfermedades mentales y estresantes y emocionales. fco javier morales moreno...
173,Fabulous: ¡Motívame!,Salud y bienestar,4.5,5000000,TheFabulous,4 de mayo de 2020,"La mejor experiencia!! Me encanta que los hábitos son de a poco ,logras uno y te preparan otro,no te presionan te dan tus tiempos,las frases son muy motivadoras,el que lo comparen a un viaje está buenísimo,las informaciónes muy buenas y científicamente comprobadas ,nunca he visto una aplicación que ...Opinión completa"
174,Serenmind: tu app de ayuda psicológica,Salud y bienestar,4.3,5000,Serenmind,16 de junio de 2020,"Me gustaba mucho esta aplicación, porque me estaba ayudando a entenderme, pero llevaba una temporada sin entrar y hoy cada vez que quería escuchar un audio, al minuto se salía de la app, así que no sé qué pasa y eso que la tengo actualizada"
175,Salud Savia,Salud y bienestar,4.0,100000,SALUD SAVIA,5 de junio de 2020,"Hoy llame al recomendarme esta aplicación y me he quedado muy satisfecha con la atención super rápido y una buena valoración, y sin ningún tipo de coste, muchas gracias Savia por esta gran aplicación que en estas situación que estamos viviendo es perfecto .Gracias"
176,AtentaMente - Meditación y Felicidad,Salud y bienestar,4.4,10000,AtentaMente,29 de mayo de 2020,"Muy buena app, me ha servido mucho para analizar mis emociones y después de los ejercicios puedo trabajar mejor. No corría en Android y escribí a los desarrolladores. En la nueva versión corre perfectamente"
177,PNL práctico,Estilo de vida,4.3,100000,Metta Apps,3 de mayo de 2020,Me gusta muy concisa pero completa
178,Meditación Guiada Gratis,Salud y bienestar,4.3,10000,AbacaxiApps,21 de mayo de 2020,Estan muy interesantes las meditaciones guiadas y lo unico malo que percibí es que el sonido esta mas alto que la voz del locutor esto hace que sea dificil concentrarse en lo que dice. Gracias de todas maneras
179,"Control y Monitor: Ansiedad, Ánimo y Autoestima",Estilo de vida,4.6,1000000,TwoCats App,22 de mayo de 2020,"Esta es de las mejores cosas que me pasó, es una aplicación muy fácil de usar, de fácil acceso, con funciones increíbles, en lo personal me gusta mucho y me es muy útil, esta muy elaborado... Me encanta!"
180,Pixels - Estados de Ánimo y Mindfulness,Estilo de vida,4.7,500000,Teo Vogel,8 de junio de 2020,"me gusta mucho la app, pero estaría bueno que se pueda poner fotos en cada dia, y también que se pueda poner alguna cuenta así no perdes los datos si se cambia de dispositivo."
181,Psicología Positiva Fácil,Salud y bienestar,4.1,50000,3Temes Publishers,29 de diciembre de 2014,"letras muy pequeñas, que se hace imposible leer...y al entrar a los Test se me tilda el celular"
182,PSY online terapia psicologia. Сhat apoyo anónimo.,Salud y bienestar,4.3,500000,INVOLTA INC,16 de junio de 2020,No me permite abrir la app y me gustaría seguir utilizandola ya que conocí gente que me ayudó mucho solo dice que conectar con el servidor y me manda directo a enviar un correo ala página solicitando una solución :(
